AK,22
AL,161
AR,75
AZ,173
CA,266
CO,83
CT,58
DE,14
FL,244
GA,139
HI,3
IA,80
ID,21
IL,360
IN,117
KS,50
KY,58
LA,148
MA,44
MD,112
ME,5
MI,232
MN,164
MO,156
MS,92
MT,30
NC,142
ND,21
NE,42
NH,7
NJ,90
NM,29
NV,42
NY,45
OH,184
OK,95
OR,38
PA,149
PR,13
RI,6
SC,84
SD,14
TN,114
TX,521
UT,40
VA,135
VT,7
WA,62
WI,101
WV,42
WY,43
